Name,Description,Designator,Quantity
,,,
53261-1471,MOLEX CONN HEADER SMD R/A 14POS 1.25MM,J1,1
LCD ST7735,"LCD 1.8"" ST7735",LCD,1
PRT-14460,Switch,"LEFT, RIGHT",2
COM-09032,Thumb Joystick,U4,1
P120PK-Y25BR10K,Variable Resistor,"VR1, VR2",2
